,Speciality,address,clinic,doctor-name,doctor_image,telephone
495,"['Dentist - Prosthodontics', 'Dentist - Orthodontics', 'Dentist - Orthodontics', 'Dentist - Prosthodontics', 'Dentist - Orthodontics, Dentist - General', 'Dentist - General']","64 Jalan Telawi, Bangsar Baru, 59100 Kuala Lumpur, Malaysia",Imperial Dental Specialist Centre,"['Arlena Lee', 'How Kim Chuan', 'Kong Sheng Earn', 'Salima Mansur Ali', 'Stephanie Chong Mei Har', 'Su Wei Siong Raymond']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+60 322877398
496,"['Obstetrician & Gynaecologist, Fertility Specialist']","640 & 641 Jalan Pintu Sepuluh, Alor Setar, Kedah.",Ins Specialist Centre,['Sarabjit Singh Perdamen Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTYyZWY2ODk5NjI5MC5qcGc='],+60 322845529
497,"['Cardiothoracic - Heart, Lungs', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiothoracic - Heart, Lungs', 'Cardiologist - Heart', 'Anaesthetist', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiothoracic - Heart, Lungs', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiothoracic - Heart, Lungs', 'Anaesthetist', 'Cardiothoracic - Heart, Lungs', 'Cardiologist - Heart', 'Cardiothoracic - Heart, Lungs', 'Anaesthetist', 'Anaesthetist', 'Paediatrician', 'Cardiothoracic - Heart, Lungs', 'Cardiothoracic - Heart, Lungs', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Cardiothoracic - Heart, Lungs', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Anaesthetist', 'Anaesthetist', 'Cardiothoracic - Heart, Lungs', 'Anaesthetist', 'Cardiologist - Heart', 'Cardiologist - Heart', 'Paediatrician']","145 Jalan Tun Razak 50400 Kuala Lumpur, Malaysia",Institut Jantung Negara (IJN),"['Abdul Rais Sanusi', 'Ahmad Khairuddin M Yusof', 'Aizai Azan Abdul Rahim', 'Alwi Mohamed Yunus', 'Amin Ariff Nuruddin', 'Ariffin Marzuki Mokhtar', 'Azlan Hussin', 'Balachandran Kandasamy', 'David Chew Soon Ping', 'Geetha Kandavello', 'Haifa Abdul Latiff', 'HaSamion', 'Jeswant Dillon', 'Khairul Faizah Mohd Khalid', 'Mazeni Alwi', 'Mohamed Ezani Mohd Taib', 'Mohamed Hassan Mohamed Ariff', 'Mohd Azhari Yakub', 'Mohd Nasir Muda', 'Mohd Nazeri Nordin', 'Mohd Sharif Mohd Shaffie', 'N Thiru Kumar', 'Nomee Ashikin Mohamed Radzi', 'Paneer Selvam Krishna Moorthy', 'Pau Kiew Kong', 'Razali Omar', 'Robaayah Zambahari', 'Roshilla Hashim', 'Rosli B Mohd Ali', 'Shaiful Azmi Yahaya', 'Sharifah Suraya Syed Mohd Tahir', 'Sharil Azlan Ariffin', 'Sivakumar Sivalingam', 'Suhaini Kadiman', 'Surinder Kaur', 'Syahidah Syed Tamin', 'Tan Kah Kee']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+60 326178200
498,['GP/Family Doctor'],"4 Jalan Sungai Nibong, 11950 Bayan Baru, Pulau Pinang",Intan Poliklinik,['N Rajaram'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+604 6464797
499,"['GP/Family Doctor, Occupational Med Specialist']","Lot 2-05, Level 2, Menara HLA, No.3, Jalan Kia Peng, 50450 Kuala Lumpur",Integral Occupational Health Services Sdn Bhd,['Ashwini Nair'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNWM2NTJjOTkyNzkxMi5qcGc='],+60321711358
500,['Eye - Ophthalmologist'],"Level 8, Centrepoint South, The Boulevard, Mid Valley City,, 59200 Kuala Lumpur, Federal Territory Of Kuala Lumpur, Malaysia",Isec International Specialist Eye Centre,['Choong Yee Fong'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTc0N2U2OWIzODEwNC5qcGc='],+603 2284 8989
501,['Obstetrician & Gynaecologist'],"Clinic 2.8, Floor 2, Room 8, 308, Jalan Macalister, 10450 George Town, Pulau Pinang",Island Hospital (Dr. Mahalakshmi Ratnavale),['Mahalakshmi Ratnavale'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNWEwYmE4NmFiNTg0Mi5qcGc='],+604 238 3184
502,['GP/Family Doctor'],"1-H LORONG DELIMA LIMA, ISLAND GLADES, 11700 PENANG",Island Klinik,['A Gopinathan A/L R Ponnu Nayar'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+604 6571596
503,['Dentist - General'],"3rd Floor, Unit 52a, Puchong Bussiness Park, 1, Jalan Puteri 1/5, Bandar Puteri, Puchong",Jha Dental Care,['Jahniama Bt Yaccob'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTc0NDA5MThjMzA4NC5qcGc='],+60 102049987
504,['GP/Family Doctor'],"13, Jalan Pandan 3/5, Pandan Jaya, Ampang",Joe Medical (Centre Pandan Jaya),['Jekinder Singh Gendeh A/L Natha Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 392746984
505,['GP/Family Doctor'],"No.28, Jalan Pandan Indah 1/23a, Taman Pandan Indah",Joe Medical Centre (Pandan Indah),['Jekinder Singh Gendeh A/L Natha Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 342701655
506,['GP/Family Doctor'],"Joe Medical Centre 3g&5g, Jalan Wawasan 4/1 Bandar Baru Ampang 68000 Ampang",Joe Medical Centre Jalan Wawasan,['Jekinder Singh Gendeh A/L Natha Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 380802511
507,['Dentist - General'],"No. 25M, Jalan Mamanda 4, Ampang Point, 68000 Ampang, Selangor",Just Smile Dental Clinic,['Mohd Shazrin Ahmad'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNWE5ZjQxY2JkZDA3ZS5wbmc='],+603 4265 2155
508,"['Ear, Nose & Throat (ENT)']","13-2, Jalan Raja Laut, 50350 Kuala Lumpur, 50350, Malaysia",Kandiah ENT Clinic,['Kandiah Sangarananthan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 4042 1888
509,['GP/Family Doctor'],"No 173, Jalan Song Thian Cheok, 93100 Kuching, Sarawak",Kang's Clinic,['Kang Tee Yong'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 340421888
510,['Dentist - General'],"B-1F-03, IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya, 47170 Puchong, Selangor",Kee Dental Surgery,['Kee Kai Ming'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 86591478
511,['GP/Family Doctor'],"No.38, Jalan Dato Hamzah, Klang, 41000, Selangor Darul Ehsan",Kelang Polyclinic ( Jalan Dato Hamzah),['Dr. Villiappan Nagappan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-33723636
512,['GP/Family Doctor'],"No. 18, Jalan Tun Dr. Ismail, 70200 Seremban Negeri Sembilan",Kelinik Dan Surgeri Templer,['N. Ganesparan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 386591478
513,['GP/Family Doctor'],"No. 186, Jalan Besar, 71800 Nilai, Negeri Sembilan",Kelinik Dan Surgeri Templer Sdn Bhd,['K. Kirthi Jeyarajah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 67620318
514,['GP/Family Doctor'],"No 25 Jalan Medan Tuanku, Chow Kit 50300 Kuala Lumpur",Kelinik Dr Khoo Kah Lin,['Liew Yin Mei'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 67991558
515,['GP/Family Doctor'],"No. 81, Sekyen 20/7, Paramount Garden, 46300 Petaling Jaya, Selangor",Kelinik Genga,['Anusha Nair Gangadaran'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 78656384
516,['GP/Family Doctor'],"Lot No. 270, Level 2, Wisma Punca Emas, Jalan Dato Sheikh Ahmad, 70000 Seremban, Negeri Sembilan",Kelinik Janaki,['P. Janaki'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 326987301
517,['GP/Family Doctor'],"No. 205, Jalan Negara 2, Taman Melawati, Kuala Lumpur, 43100, Wilayah Persekutuan Kuala Lumpur",Kelinik Jaya (taman Melawati),['Dr. Umayaal Vanthini A/p Selvaprahasam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-41077684
518,['GP/Family Doctor'],"No.41, Jalan Meranti 2a, Bandar Utama, Batang Kali, 44300, Selangor Darul Ehsan",Kelinik Kumar (batang Kali),['Dr. Thiagiarajah Retnasamy'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603-60572345
519,['GP/Family Doctor'],"No.18, Jalan Pasar, Hulu Selangor, 44200, Selangor Darul Ehsan",Kelinik Kumar (hulu Selangor),['Dr. Harikrishnan Thiagarajah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603-60573234
520,['GP/Family Doctor'],"No.10, Jalan Besar, Batang Kali, 44300, Selangor Darul Ehsan",Kelinik Kumar (jalan Besar),['Dr. Viginesen'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603-60571234
521,['GP/Family Doctor'],"B-01-12 Block B, 6 Impian Baiduri, Jalan 224 , Sek 51a, Petaling Jaya, 46100, Selangor Darul Ehsan",Kelinik Loh (impian Baiduri),"['Dr. Loh, Freddie Tak Seng']",['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-78756094
522,['GP/Family Doctor'],"No. 20, Jalan 21/11b, Sea Park, Petaling Jaya, 46300, Selangor Darul Ehsan",Kelinik Loh (sea Park),"['Dr. Loh, Freddie Tak Seng']",['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-78767410
523,['GP/Family Doctor'],"297, Jalan Tengkera, 75200 Melaka, Melaka",Kelinik Malin Tengkera,['Palaniappan Karuppiah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 67638910
524,['GP/Family Doctor'],"No.547b, Jalan Ss 9a/12, Sungai Way, Petaling Jaya, 47300, Selangor Darul Ehsan",Kelinik Nasional (sungai Way),['Dr Darshini A/p M Chandrakanthan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-78740043
525,['GP/Family Doctor'],"No.6, Jalan Ss 3/35, University Garden, Petaling Jaya, 47300, Selangor Darul Ehsan",Kelinik Nasional (university Garden),['Dr. Chandrakanthan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-78764808
526,['GP/Family Doctor'],"No. 8, Jalan Omar, 84150 Parit Jawa, Muar Johor",Kelinik Parit Jawa,['Balbeer Singh A/L Gujar Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 62821755
527,"['GP/Family Doctor, Aesthetic Doctor']","21 Au 2a/17, Taman Keramat, 54200 Kuala Lumpur",Kelinik S. Suren,['Surendran Sathasivam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 42579826
528,['GP/Family Doctor'],"24, Jalan Jernai 3, Medan Idaman, Batu 5, Jalan Gombak, 53100 Kuala Lumpur",Kelinik Setia,['Gurcharan Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 342579826
529,['GP/Family Doctor'],"No.62, Jalan Hang Lekiu, Kuala Lumpur, 50100, Wilayah Persekutuan Kuala Lumpur",Kelinik Setia (jalan Hang Lekiu),['Dato Dr. Surendar Singh Cheema'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-20703491
530,['GP/Family Doctor'],"5469, Masjid Tanah, 78300 Melaka",Kelinik Tan,['Ng Aik Chiew'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 340224466
531,['GP/Family Doctor'],"1513b , Jalan Besar 43300 Seri Kembangan ,Selangor",Kelinik Wai,['Wai Meng Kooi'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 63841285
532,"['Ear, Nose & Throat (ENT)']","84, Jalan Pudu, 55100, Kuala Lumpur, Wilayah Persekutuan, 55100, Malaysia",Khor Ear Nose & Throat Clinic,['Khor Hooi Kheang'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTczYWFlMmViMjRmMy5QTkc='],+603-2078 3055
533,['Paediatrician'],"No 8, Jalan Solaris 4, Solaris Mont Kiara, Kuala Lumpur",Kiara Child Specialist Clinic,['SATHIAJOTHY A/P K SATTHIVELUSAMY'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 62037704
534,['GP/Family Doctor'],"8, Jalan 31/70 A Desa Sri Hartamas, 50480 Kuala Lumpur, Malaysia",Kiara Medical Centre,['Sanjay Doshi'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 23008030
535,['GP/Family Doctor'],"Klinik Mycare, No.157-g, Jalan Radin Bagus, Bandar Baru Sri Petaling, Kuala Lumpur, 57000, Wilayah Persekutuan Kuala Lumpur",Kinik Mycare (bandar Baru Sri Petaling),['Dr. Ong Chee Wee'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-90542189
536,['Eye - Ophthalmologist'],"73 & 73-1, Jalan Metro Perdana Barat 1, Taman Usahawan Kepong, 52100 Kuala Lumpur",Kl Eye Specialist Centre,['Manoj Mohan Sajnani'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTczYmVkNTBkZTJlZS5QTkc='],+603 62500077
537,"['Gastroenterologist - Gut, Physician (Internal Medicine)', 'Dentist - Orthodontics, Dentist - General', 'Dentist - General', 'Dentist - General', 'Dentist - Prosthodontics', 'Anaesthetist', 'Dentist - General', 'Dermatologist - Skin', 'Dentist - General', 'Dentist - Prosthodontics', 'Dentist - General', 'Dentist - Orthodontics', 'TCM - Chinese Medicine', 'Dentist - General']","No.33, 2nd Floor, Jalan Yap Kwan Seng, Kuala Lumpur & Selangor, Malaysia",Klidc (Kuala Lumpur International Dental Clinic In Malaysia),"['Chow Ken Tek', 'Eng Ching Mah', 'Khoo Suan Phaik', 'Low Soo Huat', 'Mohamad Muzafar Hamirudin', 'Ng Kwee Peng', 'Nursuriati Muhamad Zahari', 'Ruban Nathan', 'Sathesh Balasundram', 'Seow Liang Lin', 'Shirleen Wong', 'Sia Sheau Soon', 'Soong Chew Nguan', 'Syazlli Nazreen B.Mhod Yunus']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNThhYmMzZTIyMDlmMy5wbmc=', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+60 320933500
538,['GP/Family Doctor'],"22g, Jalan Medan Setia 2, Plaza Damansara 50490, Wilayah Persekutuan Kuala Lumpur, Malaysia",Klinic Unimed,['Wong Chek Weng'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 321625555
539,['GP/Family Doctor'],"124, Jalan Sultan Yussuf, 30000 Ipoh Perak",Klinik & Dispensari Sharil,['Rajeswaran Paramjothy'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 361361640
540,['GP/Family Doctor'],"Lazenda Shophouse, Ground Floor, Lot 20, Jalan Tun Mustapha, 87000 Labuan F. T.",Klinik & Surgeri Bakti,['Ramli Bin Tahir'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 52548969
541,['GP/Family Doctor'],"No.13, Jalan Anggerik Eria Au31/au, Kota Kemuning, Shah Alam, 40460, Selangor Darul Ehsan",Klinik & Surgeri Bukit Rimau,['Sudhakar A/l Subramaniam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-51311201
